Model,Category,pr_auc,opt_thr,f1_o,pr_o,re_o,tp,fp,fn,f1_5,pr_5,re_5,delta_rule
TabPFN_SMOTE_0.3,TabPFN+SMOTE,0.728,0.645,0.695,0.725,0.667,166,63,83,0.669,0.642,0.699,0.653
TabPFN_SMOTE_0.1,TabPFN+SMOTE,0.726,0.354,0.698,0.658,0.743,185,96,64,0.682,0.712,0.655,0.651
TabPFN_SMOTE_0.5,TabPFN+SMOTE,0.722,0.6,0.691,0.691,0.691,172,77,77,0.674,0.645,0.707,0.647
TabPFN_SMOTE_0.8,TabPFN+SMOTE,0.719,0.867,0.671,0.833,0.562,140,28,109,0.665,0.645,0.687,0.644
Ensemble_Voting,Ensemble,0.715,0.63,0.711,0.742,0.683,170,59,79,0.69,0.648,0.739,0.64
Ensemble_Stacking,Ensemble,0.713,0.442,0.719,0.746,0.695,173,59,76,0.687,0.737,0.643,0.638
TabPFN_SMOTE_auto,TabPFN+SMOTE,0.707,0.604,0.664,0.674,0.655,163,79,86,0.652,0.635,0.671,0.632
TabPFN_NoSMOTE,TabPFN,0.694,0.277,0.693,0.646,0.747,186,102,63,0.684,0.742,0.635,0.619
TabPFN_SMOTEENN_0.3,TabPFN+SMOTE-ENN,0.693,0.901,0.665,0.685,0.647,161,74,88,0.637,0.594,0.687,0.618
TabPFN_SMOTEENN_auto,TabPFN+SMOTE-ENN,0.69,0.983,0.68,0.681,0.679,169,79,80,0.623,0.53,0.755,0.615
Model_A_RandomForest,Model_A,0.687,0.45,0.687,0.7,0.675,168,72,81,0.668,0.716,0.627,0.612
TabPFN_SMOTEENN_0.5,TabPFN+SMOTE-ENN,0.686,0.952,0.691,0.695,0.687,171,75,78,0.643,0.567,0.743,0.611
TrAda_+200r,TrAda,0.673,0.884,0.689,0.728,0.655,163,61,86,0.606,0.477,0.831,0.598
TrAda_+500r,TrAda,0.664,0.792,0.699,0.673,0.727,181,88,68,0.643,0.55,0.775,0.589
TrAda_+100r,TrAda,0.656,0.844,0.691,0.7,0.683,170,73,79,0.584,0.445,0.847,0.581
TrAda_+50r,TrAda,0.647,0.805,0.678,0.689,0.667,166,75,83,0.569,0.429,0.843,0.572
Model_A_XGBoost,Model_A,0.647,0.742,0.673,0.612,0.747,186,118,63,0.588,0.452,0.843,0.572
TrAda_+20r,TrAda,0.561,0.664,0.641,0.582,0.715,178,128,71,0.555,0.422,0.811,0.486
Model_A_LogisticRegression,Model_A,0.47,0.66,0.581,0.497,0.699,174,176,75,0.445,0.298,0.876,0.395
Model_A_DecisionTree,Model_A,0.442,0.816,0.523,0.399,0.759,189,285,60,0.48,0.344,0.791,0.367
Model_I_XGBoost,Model_I,0.244,0.601,0.389,0.338,0.458,114,223,135,0.367,0.289,0.502,0.169
Model_I_RandomForest,Model_I,0.186,0.26,0.326,0.229,0.562,140,471,109,0.057,0.132,0.036,0.111
Model_I_DecisionTree,Model_I,0.18,0.908,0.316,0.198,0.771,192,776,57,0.182,0.1,0.992,0.105
Model_I_LogisticRegression,Model_I,0.126,0.588,0.234,0.137,0.791,197,1237,52,0.176,0.096,0.992,0.051
Rule1_Single,Rule,0.075,0.0,0.142,0.076,1.0,249,3017,0,0.107,0.07,0.229,0.0
Rule3_OR,Rule,0.075,0.0,0.142,0.076,1.0,249,3017,0,0.012,0.009,0.02,0.0
Rule2_AND,Rule,0.074,0.0,0.142,0.076,1.0,249,3017,0,0.017,0.013,0.028,-0.001
Rule4_Score,Rule,0.073,0.0,0.142,0.076,1.0,249,3017,0,0.097,0.062,0.229,-0.002
