Model,Category,pr_auc,opt_thr,f1_o,pr_o,re_o,tp,fp,fn,f1_5,pr_5,re_5,delta_rule
Ensemble_Stacking,Ensemble,0.632,0.228,0.611,0.614,0.608,62,39,40,0.584,0.797,0.461,0.484
Ensemble_Voting,Ensemble,0.631,0.548,0.593,0.644,0.549,56,31,46,0.57,0.582,0.559,0.483
Model_A_RandomForest,Model_A,0.611,0.443,0.616,0.687,0.559,57,26,45,0.589,0.787,0.471,0.463
TabPFN_SMOTE_0.1,TabPFN+SMOTE,0.59,0.515,0.546,0.576,0.52,53,39,49,0.538,0.558,0.52,0.442
TabPFN_SMOTE_0.3,TabPFN+SMOTE,0.59,0.679,0.542,0.703,0.441,45,19,57,0.518,0.537,0.5,0.442
TabPFN_SMOTE_auto,TabPFN+SMOTE,0.58,0.571,0.566,0.69,0.48,49,22,53,0.538,0.613,0.48,0.432
TabPFN_SMOTE_0.8,TabPFN+SMOTE,0.578,0.578,0.559,0.649,0.49,50,27,52,0.531,0.567,0.5,0.43
TabPFN_SMOTE_0.5,TabPFN+SMOTE,0.578,0.574,0.545,0.649,0.471,48,26,54,0.524,0.562,0.49,0.43
Model_A_LogisticRegression,Model_A,0.575,0.93,0.586,0.558,0.618,63,50,39,0.363,0.233,0.824,0.427
TrAda_+500r,TrAda,0.548,0.945,0.578,0.75,0.471,48,16,54,0.511,0.451,0.588,0.4
TrAda_+200r,TrAda,0.546,0.814,0.57,0.529,0.618,63,56,39,0.476,0.365,0.686,0.398
TabPFN_SMOTEENN_auto,TabPFN+SMOTE-ENN,0.54,0.915,0.536,0.523,0.549,56,51,46,0.479,0.368,0.686,0.392
TabPFN_SMOTEENN_0.3,TabPFN+SMOTE-ENN,0.535,0.928,0.536,0.605,0.48,49,32,53,0.466,0.367,0.637,0.387
TabPFN_SMOTEENN_0.5,TabPFN+SMOTE-ENN,0.523,0.934,0.534,0.573,0.5,51,38,51,0.469,0.362,0.667,0.375
TrAda_+100r,TrAda,0.508,0.853,0.546,0.518,0.578,59,55,43,0.39,0.272,0.686,0.36
TabPFN_NoSMOTE,TabPFN,0.5,0.24,0.556,0.526,0.588,60,54,42,0.379,0.569,0.284,0.352
Model_A_XGBoost,Model_A,0.493,0.863,0.545,0.508,0.588,60,58,42,0.387,0.259,0.765,0.345
TrAda_+20r,TrAda,0.461,0.941,0.566,0.545,0.588,60,50,42,0.426,0.3,0.735,0.313
TrAda_+50r,TrAda,0.441,0.946,0.505,0.575,0.451,46,34,56,0.393,0.267,0.745,0.293
Model_A_DecisionTree,Model_A,0.351,0.947,0.503,0.527,0.48,49,44,53,0.35,0.229,0.735,0.203
Rule2_AND,Rule,0.148,1.0,0.275,0.163,0.882,90,462,12,0.275,0.163,0.882,0.0
Rule3_OR,Rule,0.124,1.0,0.246,0.145,0.814,83,490,19,0.246,0.145,0.814,-0.024
Rule1_Single,Rule,0.111,1.0,0.208,0.117,0.931,95,717,7,0.208,0.117,0.931,-0.037
Rule4_Score,Rule,0.103,1.0,0.191,0.106,0.961,98,828,4,0.191,0.106,0.961,-0.045
Model_I_RandomForest,Model_I,0.029,0.03,0.067,0.036,0.627,64,1736,38,0.0,0.0,0.0,-0.119
Model_I_DecisionTree,Model_I,0.026,0.039,0.061,0.031,1.0,102,3162,0,0.0,0.0,0.0,-0.122
Model_I_XGBoost,Model_I,0.017,0.001,0.061,0.031,1.0,102,3153,0,0.0,0.0,0.0,-0.131
Model_I_LogisticRegression,Model_I,0.016,0.0,0.061,0.031,1.0,102,3164,0,0.0,0.0,0.0,-0.132
