Model,Category,pr_auc,opt_thr,f1_o,pr_o,re_o,tp,fp,fn,f1_5,pr_5,re_5,delta_rule
Ensemble_Voting,Ensemble,0.635,0.706,0.643,0.711,0.587,27,11,19,0.604,0.58,0.63,0.555
Ensemble_Stacking,Ensemble,0.631,0.432,0.651,0.73,0.587,27,10,19,0.608,0.727,0.522,0.551
TabPFN_SMOTE_0.5,TabPFN+SMOTE,0.599,0.846,0.635,0.692,0.587,27,12,19,0.577,0.549,0.609,0.519
TabPFN_SMOTE_0.3,TabPFN+SMOTE,0.594,0.625,0.604,0.58,0.63,29,21,17,0.586,0.547,0.63,0.514
TabPFN_SMOTE_0.1,TabPFN+SMOTE,0.587,0.685,0.629,0.651,0.609,28,15,18,0.577,0.549,0.609,0.507
TabPFN_SMOTEENN_0.3,TabPFN+SMOTE-ENN,0.582,0.997,0.613,0.793,0.5,23,6,23,0.466,0.356,0.674,0.502
TabPFN_NoSMOTE,TabPFN,0.57,0.271,0.556,0.568,0.543,25,19,21,0.5,0.773,0.37,0.49
TabPFN_SMOTEENN_0.5,TabPFN+SMOTE-ENN,0.559,0.949,0.589,0.571,0.609,28,21,18,0.453,0.341,0.674,0.479
TabPFN_SMOTEENN_auto,TabPFN+SMOTE-ENN,0.55,0.964,0.617,0.604,0.63,29,19,17,0.432,0.314,0.696,0.47
Model_A_RandomForest,Model_A,0.542,0.317,0.624,0.617,0.63,29,18,17,0.575,0.778,0.457,0.462
TabPFN_SMOTE_auto,TabPFN+SMOTE,0.538,0.64,0.621,0.659,0.587,27,14,19,0.581,0.574,0.587,0.458
TabPFN_SMOTE_0.8,TabPFN+SMOTE,0.528,0.642,0.621,0.659,0.587,27,14,19,0.581,0.574,0.587,0.448
Model_A_XGBoost,Model_A,0.514,0.951,0.579,0.733,0.478,22,8,24,0.359,0.235,0.761,0.434
TrAda_+200r,TrAda,0.491,0.935,0.619,0.684,0.565,26,12,20,0.484,0.385,0.652,0.411
TrAda_+500r,TrAda,0.47,0.816,0.591,0.619,0.565,26,16,20,0.505,0.443,0.587,0.39
TrAda_+100r,TrAda,0.454,0.875,0.557,0.529,0.587,27,24,19,0.42,0.293,0.739,0.374
Model_A_LogisticRegression,Model_A,0.341,0.942,0.472,0.37,0.652,30,51,16,0.224,0.13,0.826,0.261
TrAda_+50r,TrAda,0.312,0.778,0.488,0.383,0.674,31,50,15,0.363,0.234,0.804,0.232
Model_I_LogisticRegression,Model_I,0.242,0.939,0.414,0.281,0.783,36,92,10,0.19,0.106,0.935,0.162
TrAda_+20r,TrAda,0.227,0.795,0.451,0.333,0.696,32,64,14,0.308,0.191,0.804,0.147
Model_A_DecisionTree,Model_A,0.224,0.962,0.449,0.327,0.717,33,68,13,0.241,0.143,0.761,0.144
Model_I_DecisionTree,Model_I,0.167,0.978,0.289,0.187,0.63,29,126,17,0.136,0.073,0.957,0.087
Model_I_XGBoost,Model_I,0.165,0.362,0.32,0.197,0.848,39,159,7,0.311,0.196,0.761,0.085
Model_I_RandomForest,Model_I,0.163,0.49,0.323,0.212,0.674,31,115,15,0.307,0.203,0.63,0.083
Rule2_AND,Rule,0.08,1.0,0.151,0.082,0.978,45,507,1,0.151,0.082,0.978,0.0
Rule3_OR,Rule,0.071,1.0,0.139,0.075,0.935,43,530,3,0.139,0.075,0.935,-0.009
Rule1_Single,Rule,0.055,1.0,0.105,0.055,0.978,45,767,1,0.105,0.055,0.978,-0.025
Rule4_Score,Rule,0.048,1.0,0.093,0.049,0.978,45,881,1,0.093,0.049,0.978,-0.032
