Model,Category,pr_auc,opt_thr,f1_o,pr_o,re_o,tp,fp,fn,f1_5,pr_5,re_5,delta_rule
Ensemble_Voting_Model_A_RandomForest_+_TabPFN_SMOTE_0.3,Ensemble,0.611,0.513,0.558,0.506,0.622,212,207,129,0.549,0.489,0.628,0.371
TabPFN_SMOTE_0.3,TabPFN+SMOTE,0.606,0.416,0.542,0.487,0.61,208,219,133,0.518,0.522,0.513,0.366
Ensemble_Stacking_Model_A_RandomForest_+_TabPFN_SMOTE_0.3,Ensemble,0.605,0.307,0.551,0.496,0.619,211,214,130,0.468,0.614,0.378,0.365
TabPFN_SMOTE_0.5,TabPFN+SMOTE,0.597,0.411,0.534,0.491,0.584,199,206,142,0.506,0.504,0.507,0.357
RF_SMOTE_0.5,Model_A+SMOTE,0.584,0.387,0.545,0.457,0.677,231,275,110,0.524,0.487,0.566,0.344
Model_A_RandomForest,Model_A,0.584,0.363,0.544,0.512,0.581,198,189,143,0.52,0.614,0.452,0.344
RF_SMOTE_0.3,Model_A+SMOTE,0.583,0.403,0.548,0.485,0.63,215,228,126,0.517,0.515,0.519,0.343
TabPFN_SMOTE_auto,TabPFN+SMOTE,0.581,0.278,0.526,0.45,0.633,216,264,125,0.483,0.482,0.484,0.341
RF_SMOTE_0.1,Model_A+SMOTE,0.58,0.397,0.545,0.529,0.563,192,171,149,0.513,0.603,0.446,0.34
RF_SMOTE_auto,Model_A+SMOTE,0.58,0.495,0.542,0.479,0.625,213,232,128,0.538,0.478,0.616,0.34
TabPFN_SMOTE_0.8,TabPFN+SMOTE,0.577,0.165,0.524,0.407,0.733,250,364,91,0.481,0.484,0.478,0.337
TabPFN_SMOTEENN_auto,TabPFN+SMOTE-ENN,0.562,0.8,0.499,0.43,0.595,203,269,138,0.489,0.377,0.698,0.322
TabPFN_SMOTEENN_0.5,TabPFN+SMOTE-ENN,0.559,0.288,0.503,0.379,0.751,256,420,85,0.491,0.395,0.648,0.319
TabPFN_SMOTEENN_0.3,TabPFN+SMOTE-ENN,0.547,0.464,0.514,0.438,0.622,212,272,129,0.506,0.438,0.598,0.307
TabPFN_NoSMOTE,TabPFN,0.534,0.216,0.534,0.412,0.76,259,370,82,0.345,0.628,0.238,0.294
TabPFN_SMOTE_0.1,TabPFN+SMOTE,0.527,0.219,0.533,0.411,0.757,258,370,83,0.328,0.564,0.232,0.287
TrAda_+500r,TrAda,0.479,0.681,0.53,0.452,0.639,218,264,123,0.515,0.392,0.748,0.239
TrAda_+200r,TrAda,0.454,0.772,0.523,0.478,0.578,197,215,144,0.501,0.358,0.836,0.214
Model_A_XGBoost,Model_A,0.418,0.7,0.519,0.403,0.73,249,369,92,0.472,0.319,0.9,0.178
TrAda_+100r,TrAda,0.4,0.719,0.512,0.417,0.663,226,316,115,0.488,0.337,0.88,0.16
Model_A_LogisticRegression,Model_A,0.37,0.648,0.48,0.39,0.622,212,331,129,0.443,0.31,0.777,0.13
TrAda_+50r,TrAda,0.355,0.593,0.49,0.355,0.789,269,488,72,0.473,0.325,0.868,0.115
Model_A_DecisionTree,Model_A,0.317,0.779,0.478,0.358,0.718,245,439,96,0.433,0.286,0.891,0.077
TrAda_+20r,TrAda,0.31,0.363,0.448,0.305,0.845,288,657,53,0.419,0.327,0.581,0.07
Rule1_Single,Rule,0.24,1.0,0.418,0.297,0.707,241,571,100,0.418,0.297,0.707,0.0
Rule4_Score,Rule,0.226,1.0,0.395,0.27,0.733,250,676,91,0.395,0.27,0.733,-0.014
Model_I_RandomForest,Model_I,0.215,0.13,0.325,0.265,0.419,143,396,198,0.006,0.5,0.003,-0.025
Rule2_AND,Rule,0.212,1.0,0.39,0.315,0.51,174,378,167,0.39,0.315,0.51,-0.028
Model_I_DecisionTree,Model_I,0.195,0.117,0.384,0.239,0.974,332,1058,9,0.038,0.233,0.021,-0.045
Rule3_OR,Rule,0.189,1.0,0.354,0.283,0.475,162,411,179,0.354,0.283,0.475,-0.051
Model_I_XGBoost,Model_I,0.122,0.117,0.227,0.158,0.402,137,730,204,0.021,0.089,0.012,-0.118
Model_I_LogisticRegression,Model_I,0.061,0.0,0.189,0.105,1.0,341,2921,0,0.0,0.0,0.0,-0.179
