class_name,repo,file_path,n_methods,Logical Lines,Distinct Operators,Distinct Operands,Total Operators,Total Operands,Cyclomatic Complexity,project,label_god_class,label_data_class,label_long_method,label_feature_envy
PasswordUtil,clean_projects,/content/student_repos/clean_projects/PasswordUtil.java,7,43,10,12,104,155,6,PasswordUtil.java,0,0,0,0
menu,clean_projects,/content/student_repos/clean_projects/menu.java,1,76,12,15,149,223,17,menu.java,0,0,0,0
CaesarCipher,clean_projects,/content/student_repos/clean_projects/CaesarCipher.java,1,37,9,11,87,130,8,CaesarCipher.java,0,0,0,0
assign3_ifage,clean_projects,/content/student_repos/clean_projects/assign3_ifage.java,1,31,9,11,74,111,11,assign3_ifage.java,0,0,1,0
bank account,clean_projects,/content/student_repos/clean_projects/bank account.java,6,34,9,11,81,121,2,bank account.java,0,0,0,0
SudokuPuzzle,clean_projects,/content/student_repos/clean_projects/SudokuPuzzle.java,4,124,18,22,322,483,9,SudokuPuzzle.java,0,0,1,0
Gessgame,clean_projects,/content/student_repos/clean_projects/Gessgame.java,1,27,8,10,72,107,5,Gessgame.java,0,0,0,0
Jarvis_Program_Using_Switchcase,clean_projects,/content/student_repos/clean_projects/Jarvis_Program_Using_Switchcase.java,6,64,11,14,130,195,11,Jarvis_Program_Using_Switchcase.java,0,0,0,0
Alaram_clock,clean_projects,/content/student_repos/clean_projects/Alaram_clock.java,1,7,4,5,19,28,2,Alaram_clock.java,0,0,0,0
Heap,clean_projects,/content/student_repos/clean_projects/Heap.java,9,81,15,18,228,342,6,Heap.java,0,0,1,0
assign1_printer,clean_projects,/content/student_repos/clean_projects/assign1_printer.java,1,14,6,7,33,50,1,assign1_printer.java,0,0,0,0
numberGuessingGame,clean_projects,/content/student_repos/clean_projects/numberGuessingGame.java,1,16,7,8,48,72,4,numberGuessingGame.java,0,0,0,0
puzzle_awt,clean_projects,/content/student_repos/clean_projects/puzzle_awt.java,3,168,23,28,537,805,43,puzzle_awt.java,0,0,1,0
AirlineReservationSystem,clean_projects,/content/student_repos/clean_projects/AirlineReservationSystem.java,14,106,15,19,239,359,5,AirlineReservationSystem.java,0,0,0,0
firstNonDuplicateChar,clean_projects,/content/student_repos/clean_projects/firstNonDuplicateChar.java,2,45,11,14,132,197,18,firstNonDuplicateChar.java,0,0,1,0
Number_Gusses,clean_projects,/content/student_repos/clean_projects/Number_Gusses.java,4,32,8,10,71,106,4,Number_Gusses.java,0,0,0,0
Inheritance,clean_projects,/content/student_repos/clean_projects/Inheritance.java,5,21,7,8,43,64,1,Inheritance.java,0,0,0,0
